Title,Note,URL,Tags,Comment
,,,,
Búlandshöfði View Point,,https://www.google.com/maps/place/B%C3%BAlandsh%C3%B6f%C3%B0i+View+Point/data=!4m2!3m1!1s0x48d57cc64b89d049:0x88c4021254c8f0dd,,
Murals of Hellissandur,,https://www.google.com/maps/place/Murals+of+Hellissandur/data=!4m2!3m1!1s0x492a9bddfa50438b:0x81589783a28da051,,
